기사id,카테고리,제목,날짜,요약문,원문
4,세계,반도체 기밀 요구하는 미국,2021/09/29,지금 자동차·가전 공장 등이 문을 닫아야 할 정도로 미국에 반도체가 부족하니까 이걸 비상사태로 보겠다는 것. 이 법을 적용하면 미국에 반도체 공장이 있는 삼성전자·TSMC는 미국 정부에 정보를 넘겨야 해요. ,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12024728
5,NULL,층간소음 해결 방법,2021/09/29,혹시 층간소음 때문에 화가 많이 났던 적 있나요? 최근 전라남도 여수에서는 층간소음 때문에 일어난 다툼으로 2명이 죽고 2명이 다치는 일이 있어 많은 사람이 안타까워했어요. 비슷한 사건이 끊임없이 생기기도 하고요. 두 집 중에 하나가 이사 가는 것만이 해결책일까요?,https://www.yna.co.kr/view/AKR20210927089200054
5,NULL,층간소음 해결 방법,2021/09/29,2014년 이후에 지은 곳으로 이사 가면 괜찮을 수도 있다는 얘기도 있어요. 법이 바뀌어서 바닥을 두껍게 만들도록 했거든요. 하지만 감사원 조사에 따르면 제대로 됐을 가능성은 거의 없다고 해요.,https://www.khan.co.kr/national/national-general/article/202105211626001
5,NULL,층간소음 해결 방법,2021/09/29,이렇게 하고도 갈등이 해결되지 않으면 소음을 직접 측정해달라고 신청할 수 있는데요. 이때 환경부에서 정한 소음 기준을 넘는 경우는 100건 중 7건꼴이었어요. 나한테는 괴로운 소음인데 환경부 기준으로는 소음이 아닌 상황이 생기는 거예요.,https://www.news1.kr/articles/?4439846
5,NULL,층간소음 해결 방법,2021/09/29,"이해하고 양보하라: 단순히 시끄럽다고만 하지 말고, 언제 어떤 소리가 왜 났는지 알아두는 게 좋아요. 윗집에 주말마다 손주가 온다면 이를 알아두고, 서로의 상황을 이해하고 공유하라는 것. 소리를 내는 집도 매트를 깔고, 특정 시간엔 조심하는 등 노력하는 모습을 보여주는 게 중요하고요. 실제로 대화로 갈등을 해결한 훈훈한 사례도 있어요.",https://www.donga.com/news/Society/article/all/20210902/109053637/1
5,NULL,층간소음 해결 방법,2021/09/29,"“소리 빵빵한 스피커를 사서 틀어놓으니 그제야 층간소음 없어지더라.” 보복소음 얘긴데요. 오히려 손해배상을 해야 할 수 있어요. 처벌을 받을 수도 있고, 다른 집에도 피해가 가 상황이 복잡해질 수 있고요. 직접 찾아가는 건 괜찮지만, 문을 마구 흔들거나 강제로 열려는 건 조심해야 해요. 주거침입죄로 처벌받을 수 있기 때문 ⚖️.",https://www.hankyung.com/society/article/202008188536i
6,피자스테이션,띵동! 위드 코로나 피자가 도착했습니다 🔔,2021/09/29,"독감 사망자가 훨씬 많아: 인플루엔자 감염과 그에 따른 합병증 때문에 사망하는 사람들은 연간 3000명 수준인데, 코로나19 사망자는 최근 18개월 동안 2400여 명이었어. 사망자만 보면 독감보다 적은 만큼, 방역 수준을 낮춰도 된다고 봐.",https://view.asiae.co.kr/article/2020102211503451712
6,피자스테이션,띵동! 위드 코로나 피자가 도착했습니다 🔔,2021/09/29,"치명률 낮아지고 있어: 백신 접종률이 높아지면서 코로나19 치명률이 낮아지고 있어(0.81%). 걸렸다고 바로 격리하는 게 아니라, 무증상이나 증상이 약한 환자들은 감기나 독감 환자처럼 대해도 괜찮다고 생각해.",https://www.nocutnews.co.kr/news/5629453
6,피자스테이션,띵동! 위드 코로나 피자가 도착했습니다 🔔,2021/09/29,"자영업자 살려야 해: 코로나19 이후로 영업시간이나 매장 내 수용 인원 제한하는 등 자영업자들의 큰 희생이 필요했어. 하지만 임대료 같은 고정 비용은 그대로였기에 더욱 부담이 컸을 것 같아. 우리나라 자영업자 비율은 전체 취업자 4명 중 1명으로 굉장히 높은 편이야. 그런데 이런 자영업자들이 무너지게 되면 나라 전체의 경제가 더 심각해질 거라고 생각해. 코로나19 초반에는 강력한 거리두기를 했다면, 이제는 위드 코로나로 경제를 살려야 한다고 봐.",https://www.seoul.co.kr/news/newsView.php?id=20200610500176
7,세계,독일 메르켈 총리 퇴임,2021/09/28,10년 연속 포브스 선정 ‘세계에서 가장 영향력 있는 여성’에 오른 사람은? 바로 독일의 앙겔라 메르켈 총리예요 🇩🇪. 메르켈 총리는 국민의 압도적인 지지를 받고 있는데요(지지율 약 75%). 16년 동안 4번 연속 총리 자리를 지켰던 그는 이번 임기를 끝으로 물러나기로 했어요: “노력했다고 기억되길 바란다.”,https://www.hankookilbo.com/News/Read/A2021092612570004468
7,세계,독일 메르켈 총리 퇴임,2021/09/28,메르켈 총리가 2005년에 취임할 땐 독일 경제가 안 좋았어요. 그래서 자리에 앉자마자 이전 정부의 개혁 정책(=하르츠 개혁*)을 넘겨받아 계속 밀고 나갔고요. 결국 실업률을 절반 수준으로 크게 낮추면서 성공적인 결과를 가져왔어요: 2005년 11% → 2021년 5.5%. ,https://www.etoday.co.kr/news/view/1129037
7,세계,독일 메르켈 총리 퇴임,2021/09/28,"2013년에 세 번째 총리 자리에 도전하며 독일 총리 중 처음으로 나치 강제수용소를 찾았어요. 유대인을 포함해 많은 사람들은 탄압했던 나치 범죄를 영원히 기억해야 한다고 말하며, 희생자들에게 사과했다고.   ",https://news.kbs.co.kr/news/view.do?ncd=5287017
7,세계,독일 메르켈 총리 퇴임,2021/09/28,반발을 무릅쓰고 시리아 난민을 받아주었던 게 원인 아니냐는 의견이 있어요. 이때를 계기로 독일의 극우 정당이 힘을 키우면서 사회적 갈등이 커졌거든요 💥. 중도를 지키는 메르켈의 정치가 신중한 게 아니라 우유부단한 거라는 비판을 받기도 했고요.,https://www.segye.com/newsView/20210825514048
8,국내정치,대장동 개발사업 특혜 의혹②,2021/09/28,"하이 리스크, 하이 리턴일 뿐!: 화천대유 측은 개발사업이 실패하면 성남시는 아무 손해를 입지 않지만, 자신들은 단 한 푼도 건질 수 없는 위험한 계약이었다고 주장해요. 많은 수익은 그 대가라는 것. 자본금으로 낸 돈(5000만 원)뿐 아니라 350억 원 넘는 돈을 투자한 점도 감안해야 한다고 말했고요. 이재명 경기지사 측도 그때는 부동산 경기가 워낙 안 좋을 때였다고 말해요.",https://www.hankookilbo.com/News/Read/A2021091821500001644
8,국내정치,대장동 개발사업 특혜 의혹②,2021/09/28,"화천대유가 엄청 높은 자리에 있었던 법률가(예: 전 대법관, 전 특별검사)를 회사에 잔뜩 모셔왔는데, 정치권에 로비하려던 거 아니냐는 거예요. 반면 화천대유 측은 소유주인 김 씨가 기자로 일할 때 친분을 쌓았던 사이라 모셔왔을 뿐이라고 말했어요.",https://www.hankookilbo.com/News/Read/A2021091823130004855
8,국내정치,대장동 개발사업 특혜 의혹②,2021/09/28,“그래도 뭔가 수상해!”: 의혹을 제기하는 쪽에서는 의심스러운 점들을 철저히 밝혀야 한다고 말해요. 성남시가 더 많은 수익을 벌 기회를 놓친 거라며 당시 시장이었던 이 지사의 책임(=업무상 배임)을 따져보기도 해야 한다는 입장이고요.,https://www.hankookilbo.com/News/Read/A2021092317410002063
8,국내정치,대장동 개발사업 특혜 의혹②,2021/09/28,"“모범적인 사업이었다!”: 이 지사는 이번 의혹이 터무니없다며 56쪽짜리 반박 자료를 냈어요. 성남도시개발공사가 받은 배당금 1822억 원뿐 아니라, 공원을 만드는 비용 2761억 원과 터널 등을 짓는 비용 920억 원까지 총 5503억 원을 얻어낸 것은 성과라고 주장했고요.",https://blog.naver.com/jaemyunglee/222514235876
8,국내정치,대장동 개발사업 특혜 의혹②,2021/09/28,"화천대유 대표와 친분이 있다는 곽상도 의원의 아들이 이곳에서 6년 동안 일하고 나오며 퇴직금과 성과급으로 50억 원을 받았다는 사실이 알려졌거든요. 퇴직금이라고 하기엔 워낙 큰 돈이라, 다른 의혹도 나와요. 곽 의원 쪽에서 신분을 숨기고 투자(=차명투자)한 다음에 이런 식으로 배당금을 받아간 것 아니냐는 것. 그는 사실이 아니라면서도 “당에 부담을 주기 싫다”며 국민의힘을 탈당했어요.",https://www.nocutnews.co.kr/news/5629421
9,국내정치,대장동 개발사업 특혜 의혹➀,2021/09/27,"이재명 경기지사가 성남시장으로 있던 2014년, 성남시 대장동 일대(지도)에 아파트와 상가 등을 짓는 사업이 있었어요(=성남 판교대장 도시개발사업). 여기에 참여한 민간 사업자가 투자한 돈에 비해 큰 돈을 벌었는데요. 뭔가 수상하다며 여러 의혹이 나온 거예요.",https://flexible.img.hani.co.kr/flexible/normal/739/960/imgdb/child/2021/0916/16318012613386_20210916503649.jpg
9,국내정치,대장동 개발사업 특혜 의혹➀,2021/09/27,낯선 인물이 나오긴 하는데요. 잠깐! 어떤 사업이었는지 차근차근 살펴보면 금방 따라갈 수 있어요 😊:,https://www.hani.co.kr/arti/area/capital/1012097.html
9,국내정치,대장동 개발사업 특혜 의혹➀,2021/09/27,"얼마씩 냈냐면: 성남의뜰의 자본금은 공기업인 성남도시개발공사가 절반(25억 원)을, 민간사업자가 나머지를 댔어요. 그중 ‘화천대유’란 회사는 1%인 5000만 원을 냈고요. 또 화천대유의 소유주 김만배 씨와 그의 가족·지인 등 6명은 ‘천화동인’이라는 회사를 세우고 3억 원(6%)을 내고 참여했어요.",https://news.kbs.co.kr/news/view.do?ncd=5283075
10,환경,4분기 전기료 인상,2021/09/27,"10월 1일부터 바뀌는 게 있어요. 바로 전기료가 오른다는 것 ⚡. 4인 가구 기준으로 평균을 내면, 한 달에 1050원을 더 내야 해요.",https://www.hani.co.kr/arti/society/environment/1012429.html
10,환경,4분기 전기료 인상,2021/09/27,"연료 가격 계속 오를 거야 📈: 우리나라는 전기를 만들 때 석탄을 가장 많이 쓰는데요. 3월에서 9월 사이에 석탄 가격이 2배 올랐고, 앞으로 더 오를 거라는 분석이 있어요. 천연가스와 석유 가격도 마찬가지고요.",https://www.hankyung.com/international/article/2021062110631
10,환경,4분기 전기료 인상,2021/09/27,"우윳값도 10월부터 오르는 등 이것저것 물가가 계속 오르고 있잖아요. 전기료 같은 공공요금은 정부가 오르는 걸 막아왔고요. 하지만 전기료까지 오르면서 연말에 물가 부담감이 더 커질 거라고. 한편으로는 그래도 전기료를 올려야 한다는 입장도 있어요. 전기료가 싸면, 석탄 발전으로 만드는 전기를 팍팍 쓰게 돼 환경에 안 좋아질 거라는 거예요.",https://www.ytn.co.kr/_ln/0102_202109260513038501
10,환경,4분기 전기료 인상,2021/09/27,"결론부터 말하자면, 잘못된 분석이에요 🙅‍♀️. 문재인 정부는 2050년까지 원자력발전소를 조금씩 멈춰서 원자력으로 만드는 에너지 비율(현재 25%)을 6~7%까지 줄이려고 해요(=탈원전). 줄인 만큼의 전기는 다른 방법으로 만들어야 하고요. ",https://www.econovill.com/news/articleView.html?idxno=549893
10,환경,4분기 전기료 인상,2021/09/27,"이번에 몇몇 사람은 화석연료를 그만큼 더 사서 썼으니 전기료가 오른 거 아니냐는 얘기를 꺼냈는데요. 산업통상자원부에서 발표한 자료를 보면, 정부는 원전에서 만드는 전력 비율을 줄인 적이 없어요(25% 정도로 유지). 이번에는 딱 화석연료 가격이 올라 전기료가 오른 거예요.",https://www.index.go.kr/potal/main/EachDtlPageDetail.do?idx_cd=1339
12,세계,지구에 떨어진 우주 쓰레기 🌏,2021/05/10,"어제(9일) 중국이 쏜 로켓의 잔해, 우주 쓰레기가 지구에 떨어졌어요. 길이 30m·무게 20t의 거대한 크기 탓에, 전 세계가 바짝 긴장했는데요: “생명체 사는 곳에 떨어지기라도 하면 위험해!” 다행히 대기권에서 거의 타버리고 바다 한가운데(아라비아해)에 떨어져서 큰 피해는 없었어요(영상). ",https://news.joins.com/article/24052748
12,세계,지구에 떨어진 우주 쓰레기 🌏,2021/05/10,우주 쓰레기가 지구에 떨어진 건 처음이 아니에요. 가깝게는 지난 3월 25일 미국의 우주 회사 스페이스X가 쏜 로켓의 잔해가 미국 워싱턴 주 농장에서 발견된 적 있어요. 더 옛날인 1969년엔 일본 바다에 떨어져 어부 5명이 다치기도 했고요. ,http://dongascience.donga.com/news.php?idx=45179
12,세계,지구에 떨어진 우주 쓰레기 🌏,2021/05/10,"맞아요. 미국·중국을 비롯한 여러 나라와 우주 사업을 펼치는 민간 회사들이 인공위성·로켓을 마구 쏘아 올리면서 지구 궤도에 무려 1억 2800만 개의 쓰레기가 떠돌고 있어요. 서로 부딪히거나 지구로 추락할 가능성도 크고요. 아직 큰 피해가 발생한 적은 없지만, 언제 일어나도 이상하지 않을 정도라고. 우주를 먼저 차지하기 위해 경쟁할 게 아니라 “쓰레기를 처리하는 데 힘을 모아야 한다”는 목소리도 나와요.",https://news.jtbc.joins.com/article/article.aspx?news_id=NB12003326
13,NULL,미국 최대의 성폭력 스캔들,2021/09/17,"역사상 최고의 체조선수로 꼽히는 시몬 바일스가 15일, 동료 선수들과 함께 미국 의회 증언대에 섰어요. 미국 스포츠 역사상 최대 성폭력 스캔들에 관한 청문회 자리였는데요. “분명히 말하자면, 저는 래리 나사르뿐 아니라 그의 범행을 방관한 전체 시스템의 책임이라고 생각합니다.”",https://www.youtube.com/watch?v=y36XUEc3ru0
13,NULL,미국 최대의 성폭력 스캔들,2021/09/17,"미국 체조 국가대표팀 주치의 래리 나사르가 1986년부터 20여 년 동안 여성 선수 260여 명을 성적으로 학대한 사건이에요. 미성년자도 포함돼 있고요. 그는 치료를 빌미로 범행을 저질렀어요. 엘리트 선수로서 극한의 스트레스·외로움과 싸우던 어린 선수들의 심리를 길들인 다음, 성적으로 학대했다고. 이 사건은 2016년 9월 처음 세상에 알려졌는데요. 바일스를 포함해 2012 런던올림픽과 2016 리우올림픽에 나갔던 미국 여자체조 대표팀 선수 상당수가 피해를 폭로했어요. 150명 넘는 피해자가 용기를 내 법정에서 증언을 했고요.",http://www.munhwa.com/news/view.html?no=2016092101072321302001
13,NULL,미국 최대의 성폭력 스캔들,2021/09/17,"미국 올림픽위원회, 나사르가 교수로 일했던 미시간주립대도 그의 범행을 방치했다는 비판을 받았어요. 이렇게 조치가 늦어지는 사이, 피해자는 더 늘어났고요. 정부가 감찰을 해보니, FBI에 첫 신고가 들어왔을 때부터 나사르가 체포되기 전까지 약 1년 동안에만 70명의 피해자가 더 나왔다고. 그 책임을 따져묻기 위해 이번에 청문회가 열린 거예요.",https://www.yna.co.kr/view/AKR20210715061800009
13,NULL,미국 최대의 성폭력 스캔들,2021/09/17,범행을 은폐하고 방관한 사람들을 찾아내 처벌하지 않으면 앞으로 이런 일이 반복될 거라고 했어요. 올림픽 3관왕 앨리 레이즈먼은 증언에 나서는 게 너무 고통스러웠지만 변화를 촉구하기 위해 이 자리에 섰다며 독립된 기관에서 철저히 수사해달라 요청했고요. 이 스캔들을 다룬 넷플릭스 다큐멘터리 ‘우리는 영원히 어리지 않다(Athlete A)’의 주인공 매기 니콜스는 아직 처벌받지 않은 사람이 많다며 목소리를 높였어요. ,https://www.netflix.com/title/81034185
14,국내정치,한국 세계 7번째로 SLBM 보유 🇰🇷,2021/09/17,"“미사일 쐈다!” 평소 이런 뉴스는 북한이 주인공으로 나오죠. 그런데 이번에는 북한 말고 우리나라에서 쏜 미사일이 화제예요 🇰🇷. 잠수함에서 쏘는 탄도미사일, 즉 ‘SLBM’ 시험 발사에 성공한 것. 전 세계에서 7개 나라밖에 없는 기술이에요.  ",https://www.joongang.co.kr/article/25007572
14,국내정치,한국 세계 7번째로 SLBM 보유 🇰🇷,2021/09/17,잠수함에서 쏘는 탄도미사일을 말해요(Submarine-Launched Ballistic Missile). 탄도미사일은 발사된 후 로켓의 추진력으로 멀리 날아가는 미사일이고요 🚀. 한없이 넓은 바다 한가운데에서 은밀히 이동하다가 갑자기 발사할 수 있기 때문에 적 입장에서는 어디서 공격하는지를 파악하기 아주 어렵고요 😬. SLBM이 있고 없고를 두고 그 나라의 군사력을 구분할 정도로 위협적인 무기라서 ‘게임 체인저’라고도 불려요.,https://imnews.imbc.com/replay/2021/nwdesk/article/6301038_34936.html
14,국내정치,한국 세계 7번째로 SLBM 보유 🇰🇷,2021/09/17,하지만 차이점은 🚨: 핵무기를 실은 게 아니라는 것. SLBM은 육지가 핵 공격을 받아 쓸 무기가 없더라도 바닷속에서 핵무기를 쏠 수 있기 때문에 무시무시한 건데요. 우리나라는 핵무기는 없지만 대신 SLBM에 실을 탄도미사일을 핵무기에 버금갈 만큼 개선할 예정이라고. ,https://www.chosun.com/politics/politics_general/2021/09/16/UU7JDH33PJGNTDUZGAHJK7NQYA/
14,국내정치,한국 세계 7번째로 SLBM 보유 🇰🇷,2021/09/17,"역시 뉴스 좀 봤다 하는 뉴니커군요? 😎 발사 성공 약 2시간 전에 북한은 달리는 기차에서 미사일을 쐈어요(사진). 또 문재인 대통령이 시험 발사를 보면서 “북한의 도발을 확실히 막을 수 있게 됐다”고 하자, 김여정 노동당 부부장은 “남북관계가 완전 파괴로 치닫게 될 것”이라며 비난했고요. 당분간 남북 간에는 긴장감이 돌 것 같아요. ",https://www.hankookilbo.com/News/Read/A2021091517280001771
15,테크,민간 우주관광 경쟁,2021/09/16,"일론 머스크의 우주 탐사 기업 스페이스X가 오늘(16일), 민간인 4명을 태운 로켓을 쏘아올렸어요. 국제우주정거장이 있는 위치보다 높이(고도 575km)까지 올라가 3일 동안 지구 주위를 돌 거라는데요. 요즘 부쩍 핫하다는 우주관광에 나서는 거예요 🚀.",https://zdnet.co.kr/view/?no=20210914091753
15,테크,민간 우주관광 경쟁,2021/09/16,"그냥 가는 건 아니고, 앞으로 더 많은 사람이 우주관광을 할 수 있을지 알아보려는 거예요. 해외여행 다녀오는 것처럼 돈만 내면 누구나 우주를 경험할 수 있게 하자는 건데요. 여러 우주 기업들이 경쟁하듯 시험비행에 나서고 있어요. 영국 억만장자 리처드 브랜슨이 세운 ‘버진갤럭틱’과, 아마존 창업자 제프 베이조스의 ‘블루오리진’이 지난 7월에 나란히 우주관광 시험비행을 마쳤고요. 버진갤럭틱 우주관광 티켓은 5억 원을 넘는데도 벌써 예약이 잔뜩 밀려 있다고. 하지만 환경에 안 좋은 영향을 미친다는 걱정도 나와요 🌏.",https://www.dongascience.com/news.php?idx=48128
15,테크,민간 우주관광 경쟁,2021/09/16,우주선을 발사할 때마다 엄청난 양의 탄소가 배출되거든요. 6명이 탄 버진갤럭틱 우주선은 여객기 한 대보다 60배나 많은 탄소를 배출했다고. 이 회사는 앞으로 이런 우주관광용 로켓을 1년에 400번 쏠 계획이라고 하고요. 다만 어떤 연료를 쓰는지에 따라 달라질 수도 있다는 얘기도 있어요. 블루오리진은 액화수소 연료를 써서 친환경적이라고 주장해요. 그밖에도 민간 우주관광이 환경에 미칠 수 있는 다양한 영향(예: 오존층 파괴)에 대해서는 연구가 더 필요하다고 🔍.,https://www.hani.co.kr/arti/society/environment/1004581.html
16,경제,구글 과징금 2000억 원 내게 된 이유,2021/09/16,가끔 스마트폰 껐다 켤 때 더듬이 달린 초록 로봇 본 적 있는 뉴니커 손! 그렇다면 안드로이드 운영체제(OS)를 쓰는 건데요 📱. 지난 14일 공정거래위원회가 안드로이드를 만든 구글에 2000억 원이 넘는 과징금을 매겼어요.,https://newsis.com/view/?id=NISX20210914_0001583851
16,경제,구글 과징금 2000억 원 내게 된 이유,2021/09/16,"한마디로 경쟁자들의 싹을 자르고 OS시장을 독차지했다는 거예요. 삼성이나 LG같이 휴대폰 만드는 회사(제조사)에 안드로이드만 쓰라고 강요하고, 자체 OS를 못 만들게 막았거든요.",https://news.kbs.co.kr/news/view.do?ncd=5280095
16,경제,구글 과징금 2000억 원 내게 된 이유,2021/09/16,"요리조리 써볼래 🛠?: 2008년에 구글은 안드로이드가 어떻게 만들어졌는지 공개했어요: “누구든지 안드로이드를 쓰고, 뜯어고쳐볼 수 있다.” 덕분에 빠르게 발을 넓혀서 2011년에는 OS시장의 72%를 차지했다고. ",https://news.sbs.co.kr/news/endPage.do?news_id=N1006465690
16,경제,구글 과징금 2000억 원 내게 된 이유,2021/09/16,"제조사는 이제 안드로이드를 활용해서 다양한 OS를 만들 수 있어요. 공정위가 안드로이드 활용을 두고 구글과 제조사가 맺은 계약을 고치라고 했거든요. 앞으로는 구글이 이런 식의 계약을 강요할 수 없게도 했고요. 구글은 이런 결정을 받아들일 수 없다면서, 법원에 가서 따져보자고 했어요: “우리 덕분에 앱 개발자·휴대폰 제조사·소비자가 이득 본 거 많은데, 이건 왜 생각 안 해줘!”",https://news.mt.co.kr/mtview.php?no=2021091411112041074
17,노동·일,현대자동차 첫 온라인 판매,2021/09/15,네. 현대차 사이트에서 영업사원을 거치지 않고 직접 살 수 있어요 🚗. 사실 온라인으로 차를 파는 건 테슬라가 이미 예전부터 유행시켰어요. 2019년부터 모든 차를 온라인으로만 팔아왔고요. 코로나19 이후 BMW·볼보 등 다른 회사들도 온라인 판매를 늘려왔어요 📈. 우리나라에서도 르노삼성이 2016년부터 일부 온라인 판매를 시작하긴 했는데요. 점유율이 가장 높은 현대·기아차는 온라인으로 판 적이 없어요. 현대·기아차가 영국에서는 견적 뽑는 것부터 배달 예약까지 온라인으로 할 수 있게 했지만 우리나라는 상황이 달랐거든요.,https://casper.hyundai.com/
